transaction_id,compte_id,date_id,montant,type_transaction
70729,2098,804,3887.23,virement
86667,1905,1413,2814.28,dépôt
53667,1015,3145,-2956.83,dépôt
39234,1134,3859,8656.54,retrait
59334,601,1277,3945.0,virement
34413,596,1599,8284.51,paiement
30721,1760,1119,610.33,dépôt
31841,3485,559,1371.26,paiement
33695,1887,3912,1804.39,retrait
76864,2769,3944,2382.08,retrait
77149,715,575,6660.91,dépôt
42017,2568,3099,-4817.83,virement
30077,1577,3706,-2425.69,prélèvement
66417,614,3037,-1846.04,prélèvement
33826,3792,1559,-3508.26,prélèvement
93941,940,481,3012.43,prélèvement
93950,3488,3218,5588.05,virement
95706,1881,2445,1468.78,virement
28186,2175,1182,6399.85,paiement
52624,2859,1287,6174.82,virement
21923,496,1733,2938.46,prélèvement
85855,3233,3625,7080.63,retrait
59529,2621,430,9684.35,retrait
37209,578,3573,668.66,retrait
95314,3342,15,-2773.66,retrait
32544,316,1306,-3646.67,dépôt
79056,2462,3863,3917.91,virement
58620,226,2567,-673.39,retrait
19779,2257,3755,3621.67,prélèvement
78004,1080,1995,490.67,virement
46441,3758,417,3625.17,dépôt
82840,2034,2316,3760.04,dépôt
54790,2803,1435,814.24,virement
58680,984,782,6227.27,dépôt
73668,3799,2324,-336.4,retrait
18922,678,3902,9321.77,virement
94491,487,636,729.66,dépôt
62935,2358,2374,7970.93,retrait
34866,1007,468,4513.94,prélèvement
58659,1393,679,9573.64,prélèvement
71866,2377,676,-1862.82,retrait
65128,3972,8,9456.24,prélèvement
94629,2741,3090,9563.21,prélèvement
44961,1281,234,-1117.22,virement
68566,1209,3811,-4430.17,prélèvement
56571,1681,1509,848.27,paiement
93427,2931,3689,905.66,retrait
61283,488,1638,6465.67,paiement
69684,2586,2082,7531.01,dépôt
65551,863,2480,7372.37,prélèvement
98729,66,1126,-2681.89,dépôt
31473,1466,2329,5040.75,paiement
90036,877,41,6675.54,retrait
84224,519,151,7081.27,paiement
45353,1823,3603,8151.0,retrait
82297,2939,1524,6335.7,prélèvement
65798,2248,4000,8633.32,paiement
79858,2721,1944,4739.2,virement
35633,2335,3919,5325.56,dépôt
84524,3956,1673,5413.99,dépôt
55171,487,447,7729.77,prélèvement
48865,3269,833,7375.15,prélèvement
15509,1018,1130,-2338.57,paiement
20718,898,1409,1013.83,paiement
62366,2453,1166,-198.13,virement
68341,955,1654,4461.08,retrait
59641,1479,3860,1132.18,retrait
38823,736,2279,-2775.56,retrait
43616,2554,2665,7219.94,virement
88150,2949,84,-407.94,prélèvement
12711,396,3559,8574.48,virement
72529,1851,917,-949.79,virement
55449,1018,949,5936.31,virement
65054,1342,2808,-2.68,retrait
95897,2939,3512,6616.33,paiement
83640,2765,194,8026.33,retrait
45677,19,3012,7302.48,paiement
22261,3964,3963,1629.5,retrait
61801,3907,1843,3421.92,retrait
26509,143,1114,-1979.4,paiement
66091,1499,1347,9543.32,retrait
99983,3689,3492,-1554.77,virement
90851,1432,1594,-3753.13,retrait
41464,1354,1362,-2205.99,prélèvement
23473,3907,2701,-4576.57,dépôt
30532,697,1102,6116.5,prélèvement
49736,1158,2522,3995.87,paiement
77470,1004,137,4630.09,retrait
93856,2767,2461,6164.41,dépôt
38039,3544,2967,-4010.99,retrait
45550,1588,4002,8755.78,prélèvement
63960,6,3031,8635.85,retrait
76335,1329,2226,-2686.94,paiement
44844,1076,2136,-4342.89,virement
42265,671,3479,7442.41,virement
10378,1641,2598,9409.07,dépôt
84085,3805,1867,-4260.43,retrait
39432,1660,3046,6056.39,dépôt
74270,2879,45,9831.1,retrait
84256,2002,3215,4511.57,virement
65185,3335,2010,5984.84,prélèvement
50627,3830,2840,7106.03,retrait
49226,2710,591,-1716.04,retrait
67963,3393,1717,4856.27,prélèvement
63355,449,2594,9152.13,virement
72928,1555,468,6693.52,dépôt
69963,620,503,5475.58,paiement
33778,3636,593,8902.27,dépôt
24467,3638,2592,-4297.47,virement
40791,2259,740,509.68,prélèvement
26034,3145,1876,3623.67,prélèvement
62762,145,336,-1422.21,retrait
59263,3094,980,-3503.07,dépôt
30469,362,1373,-2013.51,virement
44339,2036,2381,8601.09,prélèvement
26465,216,2376,-3442.6,virement
65823,3359,947,7251.98,retrait
60918,315,1061,-1834.75,retrait
57721,3550,2998,1910.45,retrait
57144,2046,1685,5247.69,retrait
84644,2454,2398,1661.44,dépôt
42678,3421,3477,8668.12,retrait
34083,3266,965,-4667.05,virement
32729,3025,2588,4085.58,dépôt
37075,2598,3907,-3551.5,dépôt
94574,1317,3104,-2952.65,prélèvement
90369,870,3207,8999.92,dépôt
52661,3120,3659,3911.3,dépôt
70084,1005,3939,670.71,dépôt
24623,2449,3081,155.77,paiement
27447,677,1145,5203.49,paiement
35692,826,865,5030.22,prélèvement
16636,2374,3099,1240.73,retrait
46346,1324,2425,7934.53,virement
32904,3857,3383,7546.43,retrait
24376,2282,277,1773.83,prélèvement
87101,803,2769,-4413.05,retrait
91061,3651,3069,5776.95,virement
78296,2874,2211,3329.31,prélèvement
77966,2334,2301,342.34,paiement
95613,1476,110,2464.4,prélèvement
64779,3988,2324,9603.96,dépôt
19062,285,1191,-1065.38,prélèvement
82052,414,26,5823.81,dépôt
53158,3698,321,7907.8,virement
16910,2164,195,3246.99,dépôt
85536,3219,1058,7179.61,virement
25203,109,337,6226.02,paiement
15212,2218,46,-3192.14,retrait
31835,3909,103,-571.11,prélèvement
32623,125,3065,-1405.22,virement
67260,2751,3453,8445.79,paiement
90848,1255,3427,4043.19,virement
19650,3852,2444,8492.84,dépôt
74335,2306,3520,-4303.04,prélèvement
50465,1009,2019,-1211.42,virement
26836,2392,1544,6949.21,prélèvement
72667,1403,3511,5518.6,virement
49611,3662,2731,8905.67,retrait
74409,2631,360,2340.22,virement
13403,1989,2776,9678.98,prélèvement
99554,2764,936,2552.71,prélèvement
71518,1251,1257,7272.96,paiement
48245,2352,1663,-3619.52,dépôt
24040,1431,2380,3208.92,prélèvement
83315,712,2430,-3915.04,retrait
78830,3617,3239,-4142.9,virement
31037,3271,3231,7950.95,retrait
23520,3292,456,93.69,dépôt
66771,1581,3954,1328.53,paiement
35546,1412,2745,1951.98,dépôt
85551,3445,3039,-3803.33,prélèvement
26521,3681,407,8930.38,virement
45423,3932,3887,-2935.42,virement
68238,2875,2903,-4462.81,virement
25944,1323,1061,-3989.35,prélèvement
27705,1006,2779,702.87,dépôt
53413,3493,1748,-2401.86,prélèvement
25688,3579,838,-4920.76,retrait
34777,3566,2229,1549.88,prélèvement
77633,2574,2348,3025.1,prélèvement
73472,1153,2779,-922.52,paiement
14134,3192,718,8673.15,virement
85519,1086,3598,2288.51,prélèvement
79280,3523,1020,7787.89,paiement
20044,26,3439,8728.26,prélèvement
92799,1518,262,5081.71,prélèvement
94040,801,1641,3466.43,virement
78503,517,2339,-728.16,virement
95584,138,475,-4726.59,paiement
20389,669,1272,242.52,virement
33770,1187,1626,6984.85,retrait
90253,806,3784,5909.82,paiement
28077,3912,1417,-3925.32,retrait
50041,2538,788,2519.66,dépôt
17196,2632,3881,9453.29,dépôt
85311,3639,56,-552.55,paiement
76381,382,88,4959.97,virement
45822,858,2042,7038.94,virement
26189,2555,2924,-2686.2,paiement
18537,1108,1748,1121.22,virement
82611,3505,3539,-2387.24,dépôt
11506,1873,990,6612.15,paiement
65106,1487,727,7710.42,paiement
90063,2786,2427,984.23,virement
40108,2165,1840,-1625.94,prélèvement
60784,3180,622,3530.95,retrait
35827,2738,1780,-1551.91,retrait
17967,2417,2385,2432.8,virement
35320,3887,1750,-1477.67,paiement
82106,1915,792,4331.64,virement
19243,3528,2022,2221.72,paiement
50562,2079,2343,9277.8,dépôt
23124,2570,2950,5300.95,paiement
33485,1657,1226,1543.23,virement
33344,1806,3636,2037.13,dépôt
94352,641,1866,9263.63,retrait
30838,2514,839,457.04,virement
42521,2672,3685,3602.63,retrait
84984,2526,574,-2986.61,dépôt
37884,2521,2047,4692.49,retrait
69874,3239,2016,6029.42,retrait
10322,414,3653,-2380.61,paiement
22055,1805,3647,9137.08,virement
66828,746,135,3082.74,prélèvement
57058,606,2977,-1789.1,dépôt
89933,1666,3249,9450.95,prélèvement
79859,2709,131,8073.97,retrait
70921,201,3569,-4321.42,dépôt
48915,3366,889,7361.57,virement
26875,3102,456,3886.13,prélèvement
70253,981,2446,4797.91,virement
73922,1883,3071,8389.76,retrait
99915,2673,3918,7857.62,dépôt
23235,3620,2164,3476.27,prélèvement
60323,2401,3864,-4364.36,dépôt
65344,722,1984,-2930.28,dépôt
93605,1264,1977,2500.81,retrait
20696,2592,3421,8028.25,retrait
31755,863,1935,-1985.71,prélèvement
78024,3270,3177,5359.22,retrait
45143,2251,2834,7569.21,retrait
66306,113,1303,-3935.27,prélèvement
14293,1453,2750,4532.97,prélèvement
79078,1461,502,8583.84,prélèvement
20754,828,3852,-762.57,paiement
39173,3899,1540,-1624.49,prélèvement
55954,345,1248,9594.35,paiement
43896,1406,84,7102.9,dépôt
57259,713,1647,8799.57,paiement
93750,272,1492,4977.96,paiement
24926,224,611,-3042.48,dépôt
53568,1278,495,3946.34,paiement
28277,3804,1708,1392.5,prélèvement
10788,395,883,-2474.96,dépôt
40027,2906,305,2789.05,retrait
44542,2627,2973,2992.45,prélèvement
14713,2148,2702,-1764.09,virement
66336,54,2078,-1794.06,paiement
36208,3395,1392,-3796.57,retrait
16783,3077,973,5258.69,retrait
70420,832,3745,-2565.41,virement
93835,1770,3688,4444.38,retrait
99836,1091,3551,-3494.41,dépôt
81006,3670,306,-4182.98,retrait
77061,391,1666,1884.41,dépôt
50800,3323,2347,4940.46,prélèvement
12149,408,1015,5613.68,virement
87608,3796,247,-1633.67,paiement
70746,3570,3634,4149.8,paiement
56876,2787,1197,-3796.25,prélèvement
33206,1445,2690,-3707.96,paiement
26864,3391,2546,47.82,prélèvement
51571,1673,3002,-76.23,prélèvement
46975,3454,3315,8332.53,retrait
66679,1052,2922,-519.26,paiement
80792,2183,3873,2849.6,retrait
58835,3033,1195,4846.93,virement
71836,784,927,-2690.53,virement
96390,3112,1361,9948.72,prélèvement
52942,1267,3888,-3787.84,virement
23760,1903,2201,6000.72,virement
63778,1419,3539,-235.77,dépôt
96745,3320,495,7066.18,paiement
80779,1062,857,9759.43,prélèvement
73733,3648,3891,8549.08,retrait
12160,784,3683,8479.69,virement
91884,1513,3931,7708.49,paiement
24369,3809,2890,7392.97,prélèvement
43164,2723,1320,-3331.73,retrait
89882,2725,592,-2078.39,retrait
55968,3783,2566,7537.46,prélèvement
87984,2559,1883,4206.27,dépôt
99396,1159,261,-3507.66,virement
33500,2100,1876,3972.45,virement
74918,1042,3804,439.1,prélèvement
78952,3525,4008,2429.44,retrait
75425,1321,2809,7997.19,paiement
87239,792,372,4697.8,prélèvement
39500,3116,1279,-2544.05,prélèvement
82422,1160,2136,-4298.13,dépôt
39521,1173,2282,-2015.14,prélèvement
31180,3745,482,9155.73,virement
66047,2425,956,4938.39,retrait
10067,2303,2603,7021.63,dépôt
58925,2259,803,2942.73,dépôt
17058,779,1770,4325.51,paiement
98687,1406,2608,-3641.42,retrait
31709,1696,3489,9020.17,dépôt
31096,2052,1957,-4661.38,retrait
77434,2207,1215,7371.62,paiement
10025,1689,1091,4644.63,dépôt
67809,1020,3547,-1358.97,virement
32837,2492,2215,6937.5,paiement
99565,2776,1922,-1228.92,virement
86811,3919,2027,6667.48,virement
10831,101,2857,5594.5,dépôt
23739,3961,499,2332.67,virement
37786,50,3592,5439.33,paiement
48211,2026,825,6892.24,prélèvement
29728,3647,3394,8415.65,dépôt
26926,1663,2215,4322.58,prélèvement
96677,112,2997,1593.11,dépôt
68103,1473,3199,7335.42,virement
94311,569,1614,-4346.97,prélèvement
68756,2480,590,7215.3,prélèvement
26064,1265,1966,-161.3,virement
56649,974,3423,3413.09,virement
46062,3358,568,799.65,paiement
56845,2146,2365,5477.41,dépôt
74383,2675,3913,-4029.36,prélèvement
88523,3873,3233,-3801.82,paiement
65485,3113,3201,7399.03,retrait
52315,542,2227,-4080.94,virement
65837,1433,2150,5778.35,prélèvement
77733,3675,2152,-432.02,dépôt
62185,157,1630,6197.44,paiement
57674,3513,2665,3072.81,dépôt
39334,590,1612,6789.2,prélèvement
47011,440,12,5282.53,dépôt
19831,13,1047,1822.16,paiement
71348,2199,1373,9920.32,virement
47299,431,1743,4780.81,virement
65987,1562,252,-465.82,retrait
54345,2533,3479,-1770.43,prélèvement
41650,1360,784,-1885.43,retrait
35702,1727,1585,5257.93,virement
68790,1381,3124,-2265.26,virement
50840,1325,2686,1241.26,retrait
67937,707,577,3754.93,retrait
68715,933,2845,7440.58,paiement
49209,3650,106,-4267.41,paiement
50536,1714,3619,9037.89,dépôt
84659,3828,3270,-4535.76,prélèvement
51504,3889,3961,-4377.03,retrait
57439,1639,2624,7175.74,dépôt
26997,3359,3336,6336.36,prélèvement
49718,500,361,7324.59,prélèvement
36916,1960,2773,7897.36,dépôt
70870,2205,2979,4436.93,dépôt
95070,1988,3260,507.34,retrait
64509,2954,2997,-4058.95,paiement
85746,176,996,2232.76,dépôt
50568,3980,632,-764.06,dépôt
41336,2856,3176,-1900.72,dépôt
95596,2385,3324,2407.58,virement
19232,1523,150,4092.09,dépôt
45004,3665,2848,4040.28,retrait
57028,605,3938,5702.88,retrait
28083,3561,2890,-1181.57,dépôt
12453,1487,2748,2568.61,dépôt
47062,856,560,2020.9,retrait
13194,2681,1138,6418.62,dépôt
32473,941,791,6498.89,retrait
29862,3242,2811,-4545.89,dépôt
87188,1517,2512,-111.94,retrait
54302,3430,2385,6289.65,virement
92560,288,1393,501.15,prélèvement
20327,969,390,8005.08,paiement
65842,216,2729,7150.5,prélèvement
29819,3405,1730,7859.13,prélèvement
84559,1669,743,-2523.12,paiement
11552,1813,305,-161.3,prélèvement
47833,1678,176,3310.4,prélèvement
33673,217,972,-3856.52,virement
82380,309,757,8009.2,paiement
49358,3819,3868,1881.39,prélèvement
46945,737,2920,8701.58,paiement
65640,1878,3128,79.34,dépôt
80899,2564,154,6170.4,retrait
49364,2061,2334,8406.95,dépôt
21032,1333,3704,1802.06,paiement
72281,463,3032,-3306.51,prélèvement
82264,2191,2743,4415.26,prélèvement
87337,2047,3168,7410.28,prélèvement
21787,3801,1887,2480.6,virement
76012,771,3782,6117.14,virement
45477,428,3212,9565.5,virement
70491,3921,2622,3914.48,retrait
20411,3456,1949,5071.13,prélèvement
70307,742,2900,-1326.61,dépôt
91978,2152,1057,837.81,virement
37298,1966,908,5948.26,retrait
27986,3033,1876,3326.65,prélèvement
98609,3987,2016,7062.69,prélèvement
90415,300,2290,4394.47,retrait
32388,3287,2227,3983.42,dépôt
73104,3209,1832,5772.22,virement
80871,3580,2291,3711.65,paiement
80568,1975,1541,-619.86,prélèvement
63964,3283,2682,6811.13,virement
23554,1438,2877,-2565.16,dépôt
45810,741,2751,-1546.66,virement
32605,2000,2747,3012.23,prélèvement
35675,2756,62,537.88,virement
68713,2985,2274,2342.01,virement
27980,2859,1954,5426.07,retrait
62625,1976,1951,9895.16,virement
93376,886,1681,2752.92,virement
58437,1900,2475,691.17,prélèvement
97921,2244,268,-4262.95,prélèvement
62255,1498,683,3904.31,paiement
72366,2532,1044,-4322.12,retrait
28294,1189,2008,2066.44,retrait
84265,3071,764,1413.98,virement
41643,2594,1884,2016.39,paiement
59381,1283,2369,-4163.87,dépôt
41533,3794,61,4885.49,prélèvement
18894,2931,540,5270.98,prélèvement
68145,3920,246,1940.53,virement
66631,777,2845,-1597.28,prélèvement
92386,1486,1486,9145.83,virement
57791,2744,2507,-526.65,prélèvement
47267,2966,313,1429.91,paiement
12580,1084,2969,8973.2,retrait
24029,2808,1060,3670.82,retrait
33236,2103,1294,-4870.42,prélèvement
80354,2418,2204,5758.7,dépôt
25546,2307,1827,318.05,paiement
79079,3813,3019,4873.67,retrait
57641,944,2247,7932.43,prélèvement
42590,2449,1671,4099.95,dépôt
23463,1296,2818,-4464.26,paiement
78070,3689,2798,-3791.05,paiement
98816,919,2573,3359.13,dépôt
82158,252,120,3874.62,virement
94794,3582,2575,-4600.87,paiement
15368,3185,2302,9211.56,dépôt
41592,1745,1311,5140.87,retrait
30565,2906,1296,-151.93,virement
78517,251,1481,-2548.58,dépôt
52925,3078,3302,485.59,retrait
31133,3817,595,8350.1,prélèvement
33928,2380,1425,161.46,paiement
57578,1410,1790,1773.61,paiement
76716,1501,498,7345.87,virement
90291,1464,1503,6025.89,prélèvement
14859,1957,1517,9899.7,prélèvement
35802,476,3665,-4989.02,dépôt
19816,2243,2517,-1304.64,dépôt
92649,3111,2700,-1753.72,retrait
43517,3330,2336,7647.63,retrait
24551,428,1159,-1930.65,paiement
38931,2125,1922,-4688.91,prélèvement
50742,2702,1075,9613.08,retrait
68183,1225,1350,-3094.52,dépôt
96226,1463,3507,3781.98,prélèvement
27672,495,1957,4458.66,prélèvement
57109,986,2477,6850.37,dépôt
94735,3684,607,-1578.85,retrait
27424,733,3295,-4529.77,paiement
10314,1640,2024,189.96,retrait
73225,2001,1710,880.64,dépôt
17054,3293,1860,-639.08,retrait
89361,1658,2860,-3824.78,dépôt
84538,752,2618,5353.88,prélèvement
92598,1975,2745,-3387.89,virement
29680,3219,1701,-4016.25,prélèvement
13861,601,3716,455.16,prélèvement
70544,2811,1112,-4650.4,virement
53260,1741,1071,1317.22,retrait
42790,2217,161,7619.63,virement
30893,664,1930,1502.73,dépôt
59270,3949,1619,5565.98,prélèvement
91655,3273,3455,9382.1,prélèvement
48814,2175,2497,-2306.67,paiement
88602,3038,3362,-488.03,prélèvement
93764,114,3264,-3354.97,prélèvement
92493,2207,3985,2199.14,retrait
36758,609,330,-4132.37,paiement
97145,1335,544,-330.08,dépôt
84718,452,3969,5369.52,virement
52218,211,2290,4791.54,prélèvement
41411,3133,3186,8807.55,virement
35204,1643,1838,-1836.97,prélèvement
10960,1413,3348,-4680.94,prélèvement
73443,946,1642,-1328.24,dépôt
73872,3097,2498,-1662.69,retrait
59464,2724,557,-2087.36,virement
14229,3749,1230,-1822.38,prélèvement
27251,1709,3751,4994.89,prélèvement
90761,472,1330,1577.17,paiement
97893,2297,1736,7738.27,virement
38914,950,1831,8773.08,retrait
25775,2698,1234,9766.95,paiement
53199,1571,2559,558.61,virement
84541,41,3713,-4844.43,retrait
14102,2104,502,8415.06,prélèvement
51216,2730,1331,8927.91,prélèvement
76238,3635,878,4626.84,dépôt
36775,2365,2907,-3508.11,dépôt
18233,2254,887,3624.84,paiement
25882,1570,2514,-1799.02,dépôt
99626,2693,1242,5399.83,paiement
10750,1444,1856,8013.98,prélèvement
40080,3670,1033,-3003.95,paiement
53590,3128,370,7106.99,dépôt
42573,959,3743,-726.13,dépôt
26964,1881,2555,-3430.46,paiement
39319,3608,1062,-2509.78,virement
71420,3303,1356,1054.14,retrait
52457,1087,2055,7354.38,dépôt
54045,2900,1906,6583.48,virement
14845,2603,2432,6292.08,retrait
47693,2646,2241,-3055.57,retrait
71835,1535,935,9614.23,virement
67843,456,1545,-74.66,paiement
98478,3948,953,7388.31,retrait
38754,968,507,9609.29,paiement
20882,2361,2148,691.45,prélèvement
71619,3941,2234,1662.04,dépôt
64558,2024,1109,-944.92,prélèvement
40574,3908,1645,5029.17,retrait
23296,325,2746,7413.76,paiement
80463,3550,705,5422.89,virement
84773,1939,1307,7301.75,prélèvement
70058,3323,2694,-1425.99,paiement
58780,3261,546,8863.81,retrait
35474,2404,1259,7457.7,prélèvement
24392,2483,592,-2145.85,dépôt
95528,1196,1695,-2884.22,prélèvement
60826,504,2776,-4030.84,prélèvement
39767,129,2118,3333.76,prélèvement
79831,577,3182,8981.76,dépôt
35977,3502,3854,5821.01,dépôt
58992,3126,2723,3197.84,prélèvement
36265,1653,1547,-1825.94,retrait
37108,2059,726,8477.89,prélèvement
61817,305,2358,447.42,virement
25182,2084,2091,5522.41,virement
28738,2238,287,3702.48,virement
48672,2588,2482,5591.92,dépôt
21095,1488,2087,-3053.66,virement
63889,1509,1356,-3919.06,prélèvement
82960,3384,3733,-4724.01,prélèvement
14075,2012,1698,2895.38,prélèvement
67725,772,169,6369.88,virement
75243,1611,1012,8773.29,paiement
50794,647,224,-2098.25,dépôt
56757,3872,696,-4385.34,dépôt
35179,121,996,6115.15,paiement
56899,3464,3074,3693.05,virement
73310,3800,1385,3198.76,prélèvement
45250,3042,616,6047.17,paiement
44313,2643,2244,8640.42,retrait
54420,990,1815,2138.36,prélèvement
27362,2688,3655,9562.27,paiement
24507,56,389,6455.2,paiement
12860,2001,1153,-2556.2,paiement
76403,734,944,3390.27,retrait
18883,1748,1143,-2653.25,retrait
84581,794,1170,-2262.15,prélèvement
76113,1674,1126,-4281.19,retrait
44255,130,3975,2798.95,dépôt
72364,3556,1559,1308.79,dépôt
91588,3965,658,7522.04,paiement
38387,1061,1415,7335.26,prélèvement
73352,388,711,5924.32,paiement
56995,2019,3367,9459.35,prélèvement
59214,807,1929,4641.83,paiement
95179,1926,223,-2130.19,retrait
91498,3340,502,-551.53,paiement
41754,449,3945,-3371.94,retrait
88132,1674,2583,5229.17,prélèvement
39929,2050,319,5869.31,prélèvement
72239,528,1082,8604.39,retrait
96758,1449,547,488.47,dépôt
54036,3628,759,9020.79,prélèvement
89553,860,1676,-2739.49,virement
48700,3184,1690,1734.11,paiement
26268,1522,3949,2530.68,dépôt
76000,3721,661,2356.45,prélèvement
73809,1786,525,3978.94,retrait
68295,3320,496,-4486.13,prélèvement
48591,1147,3633,7726.82,virement
24048,2017,3960,1584.19,retrait
75969,1016,331,-3406.54,virement
43267,1880,1445,9694.33,retrait
99105,70,1254,-861.94,paiement
85993,264,1669,3847.11,virement
92661,3273,2818,-4048.4,prélèvement
82636,3575,3692,-4192.88,virement
81008,297,1592,9508.66,prélèvement
70523,1887,1167,2097.93,retrait
76917,718,2064,-2522.33,paiement
66809,2174,3564,2095.84,virement
54786,1708,2187,3101.81,prélèvement
59538,2201,972,878.53,virement
81662,480,355,-595.33,dépôt
47703,1290,2205,2432.93,paiement
86479,1405,733,-2357.76,paiement
78798,3650,1965,-2135.85,prélèvement
92549,3747,1722,9282.26,dépôt
56753,845,874,7985.85,dépôt
31182,2531,2096,151.78,dépôt
33285,1211,1004,4691.92,prélèvement
49179,3248,647,3291.63,retrait
59549,2518,2254,-323.08,retrait
98108,2797,528,8716.51,virement
84990,1672,862,9485.57,prélèvement
73449,1685,3477,-1525.38,retrait
28414,2737,178,7643.88,prélèvement
74589,3740,922,9574.11,virement
95220,1873,1350,961.06,retrait
12679,1896,1585,4473.57,paiement
70429,1698,1509,-2129.89,virement
95396,3223,2742,-4285.54,virement
62004,3577,1437,8063.22,dépôt
31355,322,301,-2637.4,dépôt
33041,1783,1569,5760.36,virement
90165,1276,2985,6808.56,virement
54609,2389,2945,3738.18,prélèvement
65693,515,445,-163.97,virement
36527,2725,3264,6291.75,virement
38799,1403,842,877.22,virement
30370,1313,3732,-4286.81,dépôt
97799,10,2695,-2738.51,paiement
23304,666,3711,8831.85,prélèvement
80341,2463,239,4084.93,retrait
90188,2608,2829,-1431.07,virement
33829,2354,3434,-730.02,retrait
48525,3479,1116,7859.48,prélèvement
63160,2642,276,6684.5,paiement
96348,465,1951,-499.22,virement
75563,1184,997,4589.48,prélèvement
17146,2119,3843,8790.65,paiement
29960,117,2796,7145.02,prélèvement
40459,944,87,9937.08,dépôt
16287,2253,583,7761.69,dépôt
88173,3831,1379,2864.27,retrait
29276,3881,1363,-4369.93,prélèvement
75915,488,2755,6203.74,retrait
34403,2658,1587,1266.59,virement
21948,1512,3720,5438.56,paiement
76728,3208,2549,5354.2,dépôt
51713,1600,324,-505.81,retrait
22393,2100,210,3732.41,paiement
65336,1844,151,4280.32,paiement
79275,3383,3998,5243.68,dépôt
59358,791,2350,7572.48,prélèvement
19340,3697,629,4955.71,dépôt
13357,2482,1543,5899.13,prélèvement
57668,776,849,5410.63,retrait
68803,2778,3385,8449.95,paiement
48484,241,2316,898.18,paiement
84616,3544,2774,8993.83,paiement
25798,3632,852,6374.93,prélèvement
46986,1069,3891,3399.8,virement
58650,3234,1920,4340.24,prélèvement
92811,258,3328,-4565.67,paiement
32091,994,2101,5286.51,dépôt
58800,3370,3752,3620.52,dépôt
81333,2536,2092,-2185.85,prélèvement
71312,3105,1300,-4158.23,paiement
80098,273,584,5716.99,prélèvement
19752,1492,3883,5273.65,paiement
12954,2336,856,7447.99,prélèvement
40101,1036,3888,7658.72,paiement
79790,1550,116,-4560.88,retrait
68976,431,379,6545.28,virement
95621,770,3144,-3146.49,dépôt
29865,2110,2084,6936.17,retrait
52921,822,1485,3883.78,paiement
90149,1396,2036,3159.3,virement
68198,1947,3685,-1327.07,prélèvement
65977,1170,3092,-813.0,virement
93369,532,263,-3859.5,virement
10976,2968,1403,-1613.08,dépôt
50579,900,1397,-182.53,dépôt
39260,1266,796,8035.47,prélèvement
86410,1840,2263,3977.01,dépôt
56550,2631,688,-4925.74,prélèvement
99084,218,3558,-3996.46,virement
28593,685,2276,-659.87,retrait
13613,3296,3640,2741.82,dépôt
18264,610,3588,9337.57,paiement
30359,2207,3669,8287.09,retrait
