account_id,client_id,account_type,opening_date
85,236,entreprise,2020-06-29
86,449,joint,2024-05-18
87,2659,courant,2015-10-30
88,1238,épargne,2018-05-22
89,833,joint,2017-07-06
90,1200,joint,2015-10-24
91,2016,courant,2016-09-07
92,1254,entreprise,2015-07-06
93,939,courant,2021-03-16
94,1512,courant,2017-11-08
95,968,joint,2017-04-27
96,1502,courant,2020-06-03
97,1375,joint,2025-04-23
98,2489,épargne,2019-05-13
99,1238,épargne,2017-08-09
100,1620,entreprise,2017-01-29
101,1336,courant,2020-12-16
102,1269,épargne,2017-06-25
103,1647,courant,2017-12-18
104,2039,joint,2017-05-26
105,2287,courant,2024-04-18
106,297,joint,2017-01-02
107,1447,courant,2018-03-12
108,1901,courant,2023-11-14
109,2788,entreprise,2018-07-21
110,1123,joint,2016-08-09
111,1430,entreprise,2016-11-10
112,663,épargne,2021-07-02
113,918,joint,2021-05-24
114,446,joint,2016-05-13
115,1160,épargne,2017-05-24
116,641,joint,2020-09-01
117,1235,joint,2016-05-01
118,2812,courant,2020-01-03
119,1492,courant,2022-01-01
120,2237,épargne,2016-05-03
121,2127,joint,2023-12-02
122,2774,épargne,2022-03-04
123,1081,épargne,2022-08-09
124,1552,entreprise,2017-04-13
125,1399,courant,2018-01-08
126,875,épargne,2023-11-01
127,1755,courant,2025-01-28
128,2150,courant,2017-01-28
129,370,courant,2020-10-07
130,2211,entreprise,2024-08-07
131,2861,entreprise,2021-05-22
132,893,joint,2020-07-15
133,2160,courant,2021-09-02
134,2453,courant,2023-10-26
135,716,courant,2021-03-10
136,1430,joint,2024-07-01
137,87,entreprise,2018-01-05
138,3216,épargne,2024-07-09
139,1728,entreprise,2016-10-12
140,1629,joint,2018-08-05
141,2720,courant,2021-06-29
142,2410,courant,2024-07-10
143,1744,épargne,2024-02-05
144,3078,joint,2023-11-05
145,323,entreprise,2021-12-13
146,1900,épargne,2019-05-04
147,1427,joint,2023-04-07
148,1054,courant,2017-06-18
149,2312,entreprise,2018-06-14
150,591,courant,2021-08-28
151,1313,joint,2025-06-27
152,730,épargne,2023-08-10
153,2038,joint,2022-06-13
154,1912,joint,2015-07-23
155,245,épargne,2022-02-06
156,1995,épargne,2021-09-18
157,2283,épargne,2015-10-17
158,1130,joint,2023-02-04
159,932,courant,2019-11-16
160,2267,courant,2017-03-02
161,2637,épargne,2022-09-05
162,1797,joint,2016-04-26
163,1484,épargne,2016-04-25
164,2486,courant,2020-08-11
165,1735,joint,2023-04-16
166,209,joint,2025-04-18
167,2146,entreprise,2023-04-29
168,379,courant,2020-11-22
169,697,joint,2018-04-12
170,3239,épargne,2017-08-04
171,2880,entreprise,2017-05-20
172,2964,entreprise,2018-06-25
173,1555,joint,2025-01-02
174,997,courant,2023-11-02
175,2778,courant,2023-07-31
176,2492,joint,2018-05-11
177,2621,entreprise,2017-08-23
178,3202,joint,2024-09-05
179,3097,entreprise,2017-08-11
180,2037,joint,2019-10-22
181,1577,joint,2022-05-25
182,840,courant,2022-12-26
183,2384,entreprise,2018-01-12
184,1592,entreprise,2016-08-06
185,1246,épargne,2019-12-23
186,985,épargne,2021-04-12
187,1836,entreprise,2016-02-06
188,1651,joint,2020-01-22
189,1966,entreprise,2016-01-26
190,2443,joint,2019-01-20
191,2476,courant,2020-11-21
192,2139,joint,2020-11-03
193,524,courant,2017-01-17
194,486,épargne,2016-04-07
195,2503,courant,2021-08-29
196,2883,joint,2021-01-18
197,2125,épargne,2020-11-01
198,1888,courant,2022-06-08
199,1433,entreprise,2016-05-04
200,3103,courant,2018-04-01
201,105,courant,2017-01-11
202,406,joint,2022-06-15
203,871,entreprise,2022-09-11
204,3128,courant,2017-09-27
205,212,épargne,2024-08-11
206,532,entreprise,2023-04-10
207,751,épargne,2023-01-26
208,3163,entreprise,2024-11-22
209,2417,courant,2016-12-24
210,2160,courant,2021-11-15
211,1088,épargne,2022-05-01
212,2909,entreprise,2016-04-26
213,249,épargne,2015-09-05
214,3167,joint,2021-07-29
215,3062,joint,2017-07-14
216,1639,épargne,2024-10-28
217,2121,entreprise,2022-11-04
218,664,joint,2018-07-20
219,1221,courant,2018-02-09
220,822,entreprise,2017-03-17
221,441,épargne,2023-02-19
222,1003,entreprise,2023-08-04
223,2979,joint,2017-01-22
224,472,joint,2022-06-03
225,2347,courant,2023-04-02
226,1950,épargne,2022-11-07
227,1487,entreprise,2021-06-18
228,2910,épargne,2015-08-10
229,640,entreprise,2021-12-21
230,124,épargne,2023-10-22
231,63,entreprise,2016-06-03
232,2191,joint,2015-11-20
233,415,épargne,2017-01-25
234,1698,épargne,2020-07-30
235,1041,épargne,2015-07-09
236,117,courant,2017-07-20
237,1512,joint,2023-03-04
238,1049,joint,2024-02-12
239,2450,entreprise,2020-06-10
240,1029,entreprise,2018-08-24
241,373,épargne,2025-05-01
242,2117,courant,2021-08-30
243,2785,courant,2020-01-11
244,2744,courant,2018-12-30
245,3052,courant,2021-02-01
246,2519,épargne,2019-08-23
247,933,épargne,2020-12-14
248,3191,courant,2023-10-26
249,2124,courant,2020-04-18
250,868,entreprise,2016-08-11
251,263,joint,2023-04-21
252,415,joint,2018-06-21
253,2802,joint,2015-08-04
254,2923,épargne,2021-04-27
255,651,entreprise,2023-06-18
256,2714,épargne,2015-08-20
257,1076,joint,2018-12-11
258,1210,joint,2020-02-12
259,1712,épargne,2018-07-29
260,2602,entreprise,2021-09-14
261,1713,épargne,2019-06-27
262,2342,épargne,2019-09-11
263,2680,courant,2021-07-22
264,920,entreprise,2024-08-16
265,1082,entreprise,2024-04-10
266,1727,épargne,2016-05-27
267,1884,entreprise,2016-11-24
268,1490,courant,2020-07-02
269,188,entreprise,2022-10-31
270,2533,épargne,2020-05-02
271,1143,entreprise,2016-07-10
272,2969,entreprise,2021-12-11
273,928,courant,2020-07-02
274,2693,entreprise,2025-04-25
275,832,joint,2024-08-12
276,778,épargne,2024-08-07
277,2894,entreprise,2022-07-03
278,2136,courant,2020-02-17
279,1610,courant,2020-02-23
280,986,joint,2022-05-30
281,476,entreprise,2020-07-26
282,1204,joint,2025-03-25
283,864,entreprise,2021-02-23
284,518,courant,2016-08-05
285,1812,joint,2022-05-19
286,1184,courant,2018-09-01
287,3175,épargne,2021-05-13
288,3041,entreprise,2019-05-02
289,1422,épargne,2017-09-04
290,1486,entreprise,2016-12-06
291,2290,joint,2021-05-11
292,2545,épargne,2016-04-04
293,2224,épargne,2023-08-14
294,2216,courant,2022-06-22
295,89,courant,2022-12-14
296,1311,joint,2018-09-30
297,2797,entreprise,2022-07-03
298,2926,épargne,2022-03-05
299,2477,courant,2020-04-04
300,1410,épargne,2025-04-08
301,1500,courant,2021-08-29
302,1326,courant,2016-03-24
303,588,entreprise,2023-09-28
304,2966,joint,2017-12-24
305,2809,courant,2016-06-28
306,570,épargne,2017-05-24
307,1348,joint,2019-10-28
308,2149,joint,2018-04-07
309,2741,joint,2024-06-14
310,136,joint,2021-12-16
311,672,joint,2015-11-24
312,1824,épargne,2020-11-14
313,2244,courant,2025-02-19
314,2553,épargne,2020-03-28
315,2676,entreprise,2020-05-26
316,520,épargne,2024-10-14
317,969,épargne,2016-03-14
318,2316,épargne,2016-09-11
319,60,épargne,2022-10-19
320,1206,entreprise,2018-02-17
321,511,entreprise,2018-02-12
322,73,entreprise,2021-07-29
323,2704,joint,2018-06-19
324,2073,courant,2022-04-02
325,1779,épargne,2024-10-23
326,2576,joint,2019-10-13
327,1914,joint,2020-06-02
328,2336,entreprise,2017-06-03
329,233,entreprise,2016-08-23
330,2663,entreprise,2024-07-31
331,2186,joint,2020-02-25
332,1969,épargne,2020-02-28
333,1833,épargne,2024-01-12
334,463,joint,2021-08-15
335,875,courant,2017-04-21
336,1070,entreprise,2016-12-30
337,2448,entreprise,2018-11-13
338,1455,joint,2015-12-24
339,1012,épargne,2020-10-07
340,1124,joint,2021-08-18
341,239,courant,2025-02-05
342,2807,joint,2023-07-24
343,2309,épargne,2020-12-23
344,297,courant,2018-10-08
345,2968,courant,2018-02-12
346,1772,épargne,2016-06-04
347,776,entreprise,2021-08-23
348,665,épargne,2025-01-21
349,1809,joint,2022-12-13
350,1361,courant,2022-03-18
351,1158,entreprise,2015-11-16
352,841,courant,2019-11-19
353,668,joint,2020-10-07
354,2109,entreprise,2017-07-21
355,1551,courant,2019-03-30
356,2969,entreprise,2018-12-22
357,1205,joint,2020-02-11
358,2994,courant,2022-11-27
359,2609,entreprise,2023-01-18
360,1797,épargne,2016-11-16
361,1880,joint,2022-12-18
362,836,épargne,2016-03-20
363,1485,joint,2015-09-10
364,1945,courant,2016-12-22
365,3220,épargne,2017-07-26
366,2028,joint,2018-05-04
367,721,entreprise,2019-05-22
368,2554,épargne,2019-01-22
369,3178,épargne,2025-03-14
370,2020,épargne,2020-04-03
371,1574,entreprise,2024-08-23
372,350,joint,2019-08-27
373,1937,épargne,2015-11-23
374,1232,joint,2024-06-08
375,596,entreprise,2017-03-13
376,1942,courant,2024-07-28
377,2216,entreprise,2023-06-09
378,698,courant,2016-12-03
379,1275,joint,2018-07-11
380,1706,épargne,2020-10-09
381,2472,entreprise,2022-05-10
382,494,courant,2021-12-22
383,1768,joint,2017-05-14
384,3105,courant,2018-11-03
385,3039,joint,2019-03-18
386,1053,épargne,2021-08-24
387,979,épargne,2021-03-11
388,26,entreprise,2018-05-12
389,1533,courant,2020-10-12
390,2689,épargne,2024-08-10
391,3183,courant,2020-06-26
392,2494,courant,2024-02-26
393,2741,épargne,2021-11-24
394,145,joint,2022-01-05
395,2499,joint,2024-01-06
396,3012,joint,2023-04-02
397,170,joint,2018-12-06
398,755,courant,2024-07-10
399,1859,entreprise,2021-03-01
400,2018,courant,2023-03-08
401,2820,entreprise,2018-12-22
402,1339,courant,2023-06-14
403,310,entreprise,2019-12-05
404,312,épargne,2025-02-15
405,3069,entreprise,2019-05-30
406,2563,épargne,2025-03-05
407,911,épargne,2015-08-25
408,2969,entreprise,2016-09-13
409,292,entreprise,2017-07-13
410,2596,épargne,2016-12-13
411,2623,courant,2024-12-02
412,563,entreprise,2020-01-27
413,1349,épargne,2024-04-18
414,2344,courant,2021-08-22
415,1380,entreprise,2018-01-16
416,2435,joint,2017-04-27
417,2845,entreprise,2022-11-10
418,1891,joint,2020-04-29
419,1129,joint,2024-03-20
420,232,entreprise,2016-03-27
421,2514,courant,2024-03-09
422,2631,courant,2023-07-26
423,343,entreprise,2016-08-23
424,1514,joint,2016-08-23
425,721,épargne,2024-07-17
426,1099,épargne,2022-11-28
427,2313,courant,2021-04-03
428,808,entreprise,2015-07-04
429,112,joint,2023-12-10
430,2789,entreprise,2023-12-02
431,1951,épargne,2025-03-17
432,378,joint,2021-07-07
433,1903,épargne,2025-06-13
434,297,entreprise,2020-06-05
435,249,courant,2015-12-29
436,1361,joint,2018-04-23
437,1874,courant,2018-07-20
438,2794,joint,2023-08-29
439,2032,entreprise,2025-02-10
440,2656,entreprise,2017-06-29
441,580,joint,2016-05-27
442,1984,courant,2017-06-02
443,3190,entreprise,2016-04-09
444,2200,courant,2015-11-28
445,3026,courant,2022-07-02
446,2559,épargne,2018-12-03
447,57,courant,2016-01-18
448,2660,courant,2021-04-28
449,173,épargne,2019-01-16
450,3234,épargne,2015-12-22
451,2325,épargne,2023-10-01
452,2923,joint,2025-03-07
453,112,entreprise,2023-06-28
454,1100,épargne,2017-01-26
455,2052,courant,2019-06-07
456,2770,entreprise,2024-07-18
457,1567,joint,2017-09-17
458,397,courant,2021-01-27
459,240,courant,2017-07-10
460,1020,épargne,2022-03-15
461,2589,courant,2023-10-29
462,2585,joint,2020-10-11
463,1768,entreprise,2021-02-28
464,2010,joint,2019-05-01
465,1465,épargne,2023-02-16
466,3162,entreprise,2016-02-03
467,369,épargne,2015-12-17
468,120,joint,2023-10-24
469,9,épargne,2022-08-01
470,509,joint,2022-10-08
471,1219,courant,2019-02-08
472,764,épargne,2023-06-14
473,51,épargne,2022-03-06
474,2759,joint,2018-04-08
475,2459,entreprise,2023-02-26
476,3178,épargne,2022-09-13
477,1372,joint,2025-02-04
478,1502,épargne,2015-09-28
479,250,épargne,2018-04-03
480,2585,entreprise,2016-01-18
481,2292,entreprise,2022-03-23
482,3025,courant,2018-08-20
483,589,épargne,2020-10-22
484,862,entreprise,2017-06-27
485,240,joint,2024-02-23
486,563,épargne,2016-01-27
487,1356,entreprise,2023-01-20
488,886,entreprise,2021-09-15
489,3054,courant,2023-05-23
490,977,entreprise,2017-02-13
491,1872,courant,2019-08-31
492,155,épargne,2019-04-26
493,2909,joint,2019-09-01
494,3100,joint,2018-11-13
495,2370,épargne,2020-12-10
496,3235,joint,2024-04-07
497,1510,courant,2018-10-07
498,691,entreprise,2024-03-12
499,1409,courant,2018-08-28
500,2730,joint,2023-06-02
501,3203,joint,2018-04-18
502,2093,courant,2023-12-26
503,655,épargne,2017-12-26
504,2943,courant,2020-10-31
505,2666,courant,2021-12-16
506,405,entreprise,2022-12-03
507,553,épargne,2021-05-05
508,1675,joint,2017-01-21
509,2115,joint,2024-10-23
510,2763,courant,2020-01-10
511,1836,épargne,2016-08-28
512,857,courant,2022-03-27
513,164,joint,2024-02-09
514,1311,entreprise,2025-06-27
515,668,épargne,2022-05-23
516,1585,joint,2017-09-19
517,3064,entreprise,2023-09-18
518,3197,joint,2015-12-05
519,2361,entreprise,2023-01-01
520,1396,épargne,2022-12-02
521,1019,courant,2024-04-29
522,2312,joint,2019-02-19
523,739,entreprise,2016-12-23
524,1112,entreprise,2024-09-05
525,1109,courant,2022-03-03
526,552,épargne,2024-11-11
527,2180,joint,2016-07-11
528,612,entreprise,2024-09-03
529,2704,courant,2019-09-04
530,1476,épargne,2021-02-17
531,3184,entreprise,2021-06-02
532,1577,courant,2024-08-29
533,1731,courant,2017-04-25
534,203,joint,2022-04-26
535,1181,courant,2022-02-04
536,3129,joint,2024-06-24
537,529,entreprise,2021-10-08
538,1222,épargne,2017-05-24
539,592,joint,2017-04-02
540,565,entreprise,2024-06-01
541,2457,joint,2023-02-01
542,1739,joint,2016-11-08
543,761,épargne,2018-08-04
544,2423,entreprise,2020-10-27
545,2905,épargne,2023-10-14
546,2934,épargne,2017-01-01
547,1087,entreprise,2019-09-02
548,1328,courant,2021-05-11
549,1330,épargne,2021-04-30
550,1756,joint,2023-10-12
551,1890,épargne,2022-10-27
552,2007,entreprise,2023-03-08
553,1613,épargne,2024-08-02
554,2964,courant,2021-02-19
555,1341,entreprise,2023-06-16
556,177,épargne,2019-10-04
557,2786,joint,2021-10-14
558,2472,entreprise,2020-05-10
559,411,joint,2019-10-18
560,810,entreprise,2023-04-28
561,894,épargne,2016-10-21
562,2137,joint,2015-07-15
563,861,courant,2019-09-21
564,1546,épargne,2017-02-04
565,1721,joint,2016-03-29
566,3195,courant,2016-06-06
567,151,courant,2024-08-01
568,2077,courant,2022-05-07
569,695,joint,2021-08-19
570,1500,entreprise,2017-01-01
571,2820,épargne,2016-06-03
572,1799,joint,2018-07-02
573,1296,épargne,2021-01-27
574,358,entreprise,2025-05-14
575,54,entreprise,2019-05-20
576,2157,joint,2020-05-07
577,2994,joint,2020-05-02
578,2753,épargne,2018-05-07
579,1251,joint,2018-06-25
580,1752,joint,2023-03-30
581,2632,épargne,2018-03-27
582,920,entreprise,2022-10-29
583,628,joint,2019-11-25
584,2253,courant,2018-07-13
585,2444,joint,2021-12-28
586,1467,joint,2016-08-31
587,623,entreprise,2024-05-25
588,2026,courant,2022-06-22
589,394,épargne,2024-10-26
590,2531,joint,2018-10-20
591,1213,joint,2021-02-10
592,986,entreprise,2019-07-18
593,147,courant,2024-07-25
594,228,joint,2021-02-04
595,723,entreprise,2021-04-24
596,1908,joint,2025-01-11
597,316,épargne,2018-10-03
598,681,entreprise,2019-10-31
599,1095,épargne,2015-11-13
600,602,épargne,2022-02-13
601,477,joint,2018-07-05
602,2472,entreprise,2023-07-22
603,320,courant,2021-12-21
604,3134,courant,2024-02-02
605,494,courant,2019-09-17
606,905,épargne,2017-09-15
607,2577,joint,2025-06-12
608,2459,courant,2022-11-11
609,241,épargne,2017-09-14
610,2557,épargne,2018-07-24
611,2831,entreprise,2025-05-01
612,2058,joint,2016-03-22
613,2943,courant,2019-12-02
614,390,courant,2018-06-22
615,1985,entreprise,2021-10-12
616,680,épargne,2024-08-20
617,78,joint,2017-12-30
618,2965,épargne,2024-04-14
619,2616,joint,2016-02-24
620,666,entreprise,2019-11-01
621,213,joint,2024-10-17
622,879,épargne,2020-05-28
623,1451,épargne,2024-07-22
624,2694,courant,2022-09-01
625,2638,joint,2022-12-10
626,353,joint,2018-04-30
627,2845,joint,2018-07-29
628,2645,courant,2024-10-07
629,1708,courant,2023-01-19
630,637,joint,2022-03-14
631,1708,joint,2016-10-03
632,2038,joint,2020-06-13
633,1872,courant,2017-12-01
634,1770,épargne,2024-01-31
635,2434,joint,2017-05-17
636,2721,épargne,2024-09-01
637,772,épargne,2015-09-15
638,2483,courant,2022-02-09
639,1822,joint,2019-02-23
640,1101,entreprise,2019-08-20
641,981,épargne,2021-08-10
642,799,épargne,2020-02-04
643,141,entreprise,2021-04-07
644,240,épargne,2024-02-19
645,1460,joint,2016-06-04
646,1846,épargne,2020-10-24
647,2042,épargne,2022-02-22
648,615,courant,2022-02-12
649,2062,entreprise,2022-11-18
650,2466,courant,2017-10-24
651,838,épargne,2022-02-28
652,626,joint,2017-10-04
653,1791,joint,2017-12-09
654,1834,épargne,2017-02-28
655,2383,épargne,2018-03-11
656,1577,entreprise,2023-03-27
657,2740,épargne,2015-11-12
658,719,épargne,2018-09-09
659,2284,courant,2018-03-17
660,1834,courant,2022-10-11
661,2047,épargne,2017-09-12
662,2808,joint,2019-06-10
663,508,entreprise,2021-03-04
664,2853,joint,2021-06-14
665,305,entreprise,2020-05-31
666,417,courant,2019-12-09
667,2179,joint,2018-12-27
668,3145,courant,2016-11-28
669,1114,épargne,2024-01-26
670,1200,courant,2017-04-10
671,621,épargne,2023-10-06
672,2587,épargne,2024-03-07
673,1452,courant,2020-11-23
674,1581,épargne,2018-03-27
675,595,joint,2017-01-23
676,2277,joint,2024-01-31
677,3037,courant,2020-06-25
678,711,entreprise,2019-04-04
679,1120,courant,2021-02-01
680,1933,joint,2024-06-23
681,1437,joint,2015-09-22
682,1240,épargne,2017-05-25
683,2855,joint,2020-07-20
684,2590,joint,2019-06-08
685,297,joint,2016-07-11
686,404,épargne,2015-09-06
687,1234,épargne,2019-01-02
688,1138,courant,2022-09-13
689,2451,courant,2023-04-25
690,1097,courant,2021-08-26
691,1846,joint,2020-08-24
692,1703,courant,2024-07-04
693,415,épargne,2020-01-01
694,1466,joint,2017-06-10
695,972,entreprise,2024-09-14
696,2631,courant,2017-01-15
697,260,joint,2017-08-10
698,1934,joint,2016-12-08
699,664,épargne,2017-08-25
700,2739,épargne,2017-11-10
701,1380,épargne,2015-09-18
702,2687,courant,2024-09-11
703,1055,épargne,2018-09-02
704,9,courant,2022-11-24
705,683,épargne,2025-02-04
706,3103,entreprise,2025-06-19
707,2360,joint,2023-11-25
708,1287,courant,2025-03-07
709,1763,courant,2015-07-22
710,2755,joint,2020-09-11
711,1178,joint,2023-06-17
712,2730,joint,2022-06-25
713,2091,courant,2023-06-11
714,3236,courant,2015-09-19
715,347,joint,2023-12-13
716,998,épargne,2015-09-14
717,2407,épargne,2016-05-13
718,1211,courant,2024-10-03
719,1168,joint,2023-07-21
720,1800,entreprise,2015-08-20
721,2401,épargne,2016-09-08
722,1887,épargne,2024-08-13
723,3085,entreprise,2018-02-23
724,2759,entreprise,2022-07-17
725,87,courant,2023-10-26
726,2375,entreprise,2017-07-03
727,3059,entreprise,2019-01-10
728,2843,joint,2020-06-03
729,1478,joint,2015-11-27
730,2736,courant,2017-10-17
731,1121,entreprise,2025-05-19
732,1048,épargne,2016-12-13
733,1498,courant,2018-04-23
734,3153,épargne,2022-06-06
735,618,courant,2024-09-04
736,106,courant,2021-07-29
737,1782,joint,2018-09-27
738,268,entreprise,2024-04-10
739,2634,courant,2021-03-22
740,2856,courant,2018-09-07
741,1685,entreprise,2020-08-23
742,69,joint,2018-11-08
743,988,courant,2020-09-18
744,1681,courant,2021-02-15
745,2381,entreprise,2024-05-06
746,1528,épargne,2021-09-01
747,35,épargne,2020-06-11
748,453,courant,2017-09-15
749,185,entreprise,2016-08-27
750,2790,joint,2018-06-25
751,1890,entreprise,2022-10-27
752,803,épargne,2021-09-01
753,1990,entreprise,2018-06-17
754,401,entreprise,2023-09-14
755,2675,épargne,2021-11-17
756,296,joint,2024-02-28
757,407,entreprise,2020-02-15
758,1265,épargne,2017-05-24
759,521,joint,2019-03-06
760,1026,joint,2024-08-24
761,433,courant,2017-06-30
762,2150,courant,2018-08-17
763,179,épargne,2025-01-20
764,1155,entreprise,2024-08-14
765,1570,courant,2019-11-13
766,606,entreprise,2016-06-08
767,302,épargne,2023-10-24
768,2153,courant,2022-12-15
769,1073,courant,2018-02-05
770,3198,joint,2015-11-27
771,2545,entreprise,2021-12-10
772,1207,joint,2018-11-16
773,2197,entreprise,2017-08-02
774,2678,épargne,2019-09-15
775,2764,joint,2024-04-10
776,1485,courant,2017-03-10
777,578,épargne,2021-12-10
778,3111,entreprise,2021-09-24
779,2922,joint,2020-12-28
780,1495,épargne,2020-04-06
781,2876,joint,2016-08-22
782,2915,entreprise,2023-09-20
783,1719,courant,2015-09-20
784,807,joint,2024-02-27
785,34,joint,2018-09-18
786,1054,épargne,2020-11-16
787,937,joint,2019-04-26
788,908,entreprise,2017-10-13
789,1840,joint,2019-04-27
790,602,épargne,2019-09-09
791,2103,entreprise,2024-06-25
792,3200,courant,2024-11-27
793,383,joint,2023-07-19
794,1081,entreprise,2018-12-12
795,293,courant,2025-01-01
796,1584,joint,2023-03-09
797,1239,épargne,2022-01-09
798,1935,épargne,2017-05-07
799,870,épargne,2025-05-10
800,1838,épargne,2021-05-19
801,1229,entreprise,2015-08-11
802,376,entreprise,2017-12-02
803,2186,entreprise,2024-04-30
804,727,épargne,2015-12-06
805,2839,épargne,2016-08-23
806,1017,épargne,2020-09-18
807,862,joint,2022-05-24
808,344,courant,2016-10-11
809,225,entreprise,2018-10-25
810,2605,joint,2024-08-30
811,1071,courant,2022-07-14
812,520,entreprise,2020-07-22
813,970,entreprise,2022-04-18
814,1386,joint,2020-02-11
815,914,entreprise,2021-06-17
816,1949,entreprise,2020-01-02
817,1271,épargne,2024-11-08
818,411,courant,2023-03-06
819,1678,joint,2016-07-05
820,1870,courant,2021-10-26
821,1487,courant,2024-11-30
822,842,courant,2024-06-19
823,2798,entreprise,2016-12-03
824,1054,entreprise,2020-02-27
825,1530,épargne,2020-06-25
826,226,épargne,2017-02-19
827,1918,courant,2016-12-21
828,1976,joint,2024-10-01
829,2584,joint,2024-10-24
830,2591,courant,2019-06-08
831,1399,joint,2017-02-08
832,2221,courant,2022-04-23
833,1038,joint,2024-09-22
834,1168,épargne,2024-07-29
835,2787,courant,2022-01-12
836,1194,joint,2021-07-04
837,3135,joint,2019-05-29
838,167,entreprise,2019-12-24
839,235,entreprise,2017-04-05
840,1854,entreprise,2019-02-16
841,1726,joint,2021-11-19
842,1954,courant,2024-12-16
843,2923,épargne,2022-08-31
844,1442,entreprise,2015-12-01
845,2294,épargne,2018-05-21
846,619,entreprise,2021-12-11
847,2348,épargne,2021-01-17
848,1466,courant,2025-04-19
849,1960,épargne,2016-05-30
850,1346,joint,2023-11-30
851,812,joint,2023-04-24
852,552,courant,2025-02-20
853,2372,joint,2024-06-27
854,3162,épargne,2020-08-31
855,1794,entreprise,2023-09-21
856,1796,courant,2022-05-19
857,3007,joint,2018-12-31
858,2420,courant,2016-01-21
859,2714,épargne,2018-11-20
860,566,courant,2025-05-27
861,2552,courant,2018-02-26
862,1963,entreprise,2016-11-29
863,10,courant,2023-12-07
864,2314,épargne,2017-03-27
865,468,courant,2021-07-14
866,2209,épargne,2022-03-22
867,687,courant,2018-02-01
868,980,courant,2022-09-14
869,1378,courant,2020-03-03
870,831,épargne,2016-12-23
871,775,entreprise,2018-06-12
872,2500,entreprise,2022-06-27
873,1497,joint,2016-02-03
874,2081,courant,2019-04-05
875,2653,joint,2024-10-25
876,469,joint,2020-01-14
877,1286,courant,2015-10-21
878,1148,entreprise,2023-01-16
879,1167,épargne,2025-02-09
880,1731,entreprise,2017-11-18
881,925,joint,2016-12-28
882,891,courant,2022-12-11
883,104,courant,2019-08-21
884,906,entreprise,2022-01-28
885,194,courant,2019-01-27
886,271,courant,2017-07-23
887,1580,entreprise,2020-12-02
888,3211,entreprise,2021-12-07
889,1581,épargne,2017-07-02
890,3045,entreprise,2015-08-21
891,3179,courant,2016-10-02
892,2319,joint,2021-06-19
893,470,joint,2023-08-12
894,1268,entreprise,2017-11-21
895,3025,épargne,2021-11-08
896,2550,épargne,2020-01-04
897,1034,courant,2017-08-15
898,1263,courant,2018-12-31
899,3222,courant,2019-10-01
900,255,courant,2016-09-19
901,1490,joint,2023-07-17
902,2412,épargne,2022-01-30
903,830,épargne,2021-12-19
904,2214,courant,2018-11-13
905,1886,courant,2023-03-21
906,2078,courant,2019-05-01
